,en_US,pt_BR,es
CREATED,Created with,Criado com,Creado com
THANKS,"INTRO EM INGLES","Elvarg Esta em desenvolvimento.
É apenas um projeto para a disciplina de jogos digitais.
","INTRO EM ESPANHOL"
INTRO,"Use the arrows or WASD keys to move 




Use [J] or [Space] to ATTACK 
Use [K] to ROLL 
Press [ESC] to MENU
Press [ i ] to INVENTORY","Use as setas ou WASD para se mover 




Use [J], [Mouse], [Control] ou [Space] para ATACAR 
Use [K] ou [SHIFT] para ROLAR 
Pressione [ESC] para MENU
Use [i] para INVENTÁRIO","ESPANHOL: Usa las flechas o las teclas WASD para moverte 




Usa [ATAQUE] o [Space] para ATACAR 
Usa [ROLAR] para RODAR 
Presiona [ESC] para MENÚ
Presiona [ i ] para INVENTARIO"
BED ASK,"You can restore your health 
while you sleep! 
Do you want to sleep now?","Você Cura a vida dormindo! 
Gostaria de dormir?","¡Puedes restaurar tu salud
mientras duermes!
¿Te gustaría dormir ahora?"
BED ANSWER,[ATAQUE]Yes [ROLAR]No,[ATAQUE] Sim [ROLAR] Não,[ATAQUE] Sí [ROLAR] No 
QS NS DS1 D,"Hello my little friend!
Could you bring me 15 honeycombs?","Fala meu amiguinho!
Você poderia me trazer
15 favos de mel?","¡Hola mi pequeño amigo! 
¿Me podrías traer 15 panales? "
QS NS DS1 A,[ATAQUE] Yes [ROLAR] No,[ATAQUE] Sim [ROLAR] Não,[ATAQUE] Sí [ROLAR] No 
QS NS DS2 D,"Thank you so much!
You're a great friend!","Valeu maninho!
Você é o cara mesmo! ","¡Muchas gracias! 
¡Eres un gran amigo! "
QS NS DS2 A,[ATAQUE] I will be back soon!,[ATAQUE] Eu volto logo!,[ATAQUE] ¡Volveré pronto! 
QS NS DS3 D,"If you change your mind, I'll be here.","Se mudar de ideia 
estarei aqui.","Si cambias de opinión, estaré aquí. "
QS NS DS3 A,[ATAQUE] Ok!,[ATAQUE] Ok!,[ATAQUE] ¡Ok! 
QS S DS1 D,Did you get all the honeycombs?,Já conseguiu todos os 15 favos de mel?,¿Conseguiste todos los panales? 
QS S DS1 A,[ATAQUE] Yes!,[ATAQUE] Sim!,[ATAQUE] ¡Sí! 
QS S DS1 A1,[ATAQUE] I need to get more!,[ATAQUE] Preciso conseguir mais!,[ATAQUE] ¡Necesito más! 
QS S DS2 D,"Thanks my little friend!
Take that reward!","Valeu meu parça!
Toma um presentinho! ","¡Gracias mi amiguito! 
¡Toma esa recompensa! "
QS S DS2 A,[ATAQUE] Thank you so much!,[ATAQUE] Valeu mano!,[ATAQUE] ¡Muchas gracias! 
QS S DS3 D,Watch out for the bees!,Cuidado com as abelhas!,¡Cuidado con las abejas! 
QS S DS3 A,"[ATAQUE] OK, I'll be back later!",[ATAQUE] Ok! Eu volto mais tarde!,[ATAQUE] ¡Está bien!
QS C DS1 D,"Thanks for the help!
Would you like to do me another favor?","Valeu pela ajuda!
Gostaria de me fazer outro favor?","¡Gracias por la ayuda!
¿Quieres hacerme otro favor?"
QS C DS1 A,[ATAQUE] Yes [ROLAR] No,[ATAQUE] Sim [ROLAR] Não,[ATAQUE] Sí [ROLAR] No
QS C DS2 D,"I want to build a fireplace!
Could you bring me 20 stones?","Quero construir uma lareira!
Poderia me trazer 20 pedras?","¡Quiero construir una chimenea!
¿Podrías traerme 20 piedras?"
QS C DS2 A,[ATAQUE] Yes,[ATAQUE] Pagando bem!,[ATAQUE] Sí
